,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
575,Reggie Gilliam,BUF,FB,26,17,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,141,
576,Antoine Green,DET,WR,24,9,0,0,0,0,0,0,0,0,,0,2,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,203,
577,Jacob Harris,JAX,WR,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,220,
578,N'Keal Harry,MIN,WR,26,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,221,
579,Jamycal Hasty,2TM,RB,27,5,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,149,
580,Parker Hesse,ATL,TE,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,
581,J.P. Holtz,NOR,TE,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,
582,Travis Homer,CHI,RB,25,16,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,150,
583,Jesper Horsted,LVR,TE,26,13,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,110,
584,Mohamed Ibrahim,DET,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,151,
585,Godwin Igwebuike,2TM,RB,29,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,152,
586,Andy Isabella,BUF,WR,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,222,
587,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Kearis Jackson,TEN,WR,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,223,
589,Lucky Jackson,MIN,WR,32,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,224,
590,Shedrick Jackson,CIN,WR,24,5,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,225,
591,Tyree Jackson,NYG,TE,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,
592,Johnny Johnson,HOU,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,226,
593,Hunter Kampmoyer,LAC,TE,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,
594,Dalton Keene,HOU,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,
595,Tyler Kroft,MIA,TE,31,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,
596,Zack Kuntz,NYJ,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,
597,Kwamie Lassiter II,CIN,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,204,
598,Hunter Long,LAR,TE,25,4,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,
599,Tay Martin,SFO,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,227,
600,Ben Mason,BAL,FB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,153,
601,Jordan Matthews,CAR,TE,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,
602,Kenny McIntosh,SEA,RB,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,154,
603,Sean McKeon,DAL,TE,26,9,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,129,
604,Tre' McKitty,LAC,TE,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,
605,Jeremy McNichols,SFO,RB,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,155,
606,Kirk Merritt,NOR,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,228,
607,Ryan Miller,TAM,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,229,
608,Jordan Mims,NOR,RB,24,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,156,
609,Stanley Morgan Jr.,CIN,WR,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,230,
610,Albert Okwuegbunam,PHI,TE,25,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,131,
611,Qadree Ollison,PIT,RB,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,157,
612,Henry Pearson,GNB,FB,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,158,
613,Josh Pederson,JAX,TE,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,
614,Nathan Peterman,CHI,QB,29,2,0,0,0,0,0,0,2,-4,-2.00,0,0,0,0,,0,1,0,0,,,,-0.4,-0.4,-0.4,,82,
615,Adam Prentice,NOR,FB,26,13,1,0,0,0,0,0,2,12,6.00,0,3,2,12,6.00,0,1,1,0,,,,2.4,3.4,1.4,,140,
616,Deneric Prince,KAN,RB,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,159,
617,Giovanni Ricci,CAR,FB,27,5,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,142,
618,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,James Robinson,GNB,RB,25,1,0,0,0,0,0,0,1,2,2.00,0,1,1,-2,-2.00,0,0,0,0,,,,1.0,1.0,0.5,,160,
620,Aaron Rodgers,NYJ,QB,40,1,1,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,77,
621,Amari Rodgers,IND,WR,24,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,231,
622,Brady Russell,SEA,TE,25,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,
623,David Sills,DEN,WR,27,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,232,
624,Matthew Slater,NWE,WR,38,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,233,
625,Tre'Quan Smith,DEN,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,234,
626,Matt Sokol,NWE,TE,28,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,
627,SaRodorick Thompson,SEA,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,161,
628,Mitchell Tinsley,WAS,WR,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,235,
629,Noah Togiai,PHI,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,
630,Kyle Trask,TAM,QB,25,2,0,0,1,0,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,78,
631,DJ Turner,LVR,WR,26,10,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,236,
632,Xazavian Valladay,NYJ,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,162,
633,Nick Vannett,LAC,TE,30,8,5,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,111,
634,Travis Vokolek,ARI,TE,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,136,
635,Dwayne Washington,DEN,RB,29,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,163,
636,Montrell Washington,KAN,WR,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,0,0,,,,,,,,237,
637,Blake Whiteheart,ARI,TE,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,137,
638,Kristian Wilkerson,LVR,WR,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,238,
639,Brayden Willis,SFO,TE,24,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,138,
640,Jonathan Williams,WAS,RB,29,1,0,0,0,0,0,0,1,-2,-2.00,0,1,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,165,
641,Rodney Williams,PIT,TE,25,13,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,139,
642,Juwann Winfree,IND,WR,27,8,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,239,
643,Easop Winston,SEA,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,240,
644,Logan Woodside,ATL,QB,28,1,0,3,4,27,0,1,1,6,6.00,0,0,0,0,,0,0,0,0,,,,-0.3,0.7,0.7,,81,
645,Owen Wright,BAL,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,164,
646,Dareke Young,SEA,WR,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,241,
647,Kyle Allen,BUF,QB,27,7,0,0,0,0,0,0,13,-13,-1.00,0,0,0,0,,0,0,0,0,,,-1,-1.3,-1.3,-1.3,,83,
648,Deon Jackson,3TM,RB,24,4,1,0,0,0,0,0,14,16,1.14,0,6,5,14,2.80,0,2,2,0,,,-1,4.0,6.0,1.5,,166,
649,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,David Wells,TAM,TE,28,5,0,0,0,0,0,0,0,0,,0,2,2,-10,-5.00,0,1,0,0,,,-1,1.0,1.0,,,140,
651,James Proche,CLE,WR,27,10,1,0,0,0,0,0,0,0,,0,5,0,0,,0,1,1,0,,,-2,-2.0,-1.0,-2.0,,242,
652,Trent Taylor,CHI,WR,29,17,0,0,0,0,0,0,1,-2,-2.00,0,2,0,0,,0,2,1,0,,,-2,-2.2,-1.2,-2.2,,243,
